developer,item_id,posted_year,count
Valve,70,2011,1
Valve,70,2012,2
Valve,70,2013,8
Valve,70,2014,16
Valve,70,2015,11
Outerlight Ltd.,2400,2013,2
Outerlight Ltd.,2400,2014,6
Outerlight Ltd.,2400,2015,2
Introversion Software,1520,2012,1
Introversion Software,1520,2013,1
Introversion Software,1520,2014,2
Introversion Software,1520,2015,1
Outerlight Ltd.,2420,2014,2
Facepunch Studios,4000,2010,2
Facepunch Studios,4000,2011,13
Facepunch Studios,4000,2012,29
Facepunch Studios,4000,2013,241
Facepunch Studios,4000,2014,498
Facepunch Studios,4000,2015,225
Bugbear Entertainment,2990,2014,2
Bugbear Entertainment,2990,2015,1
Bugbear Entertainment,6220,2013,1
Bugbear Entertainment,6220,2014,1
Bugbear Entertainment,6220,2015,1
"Firaxis Games,Feral Interactive (Mac)",7600,2015,1
"Crystal Dynamics,Feral Interactive (Mac)",8000,2015,1
"CAPCOM Co., Ltd.",6550,2014,1
id Software,2280,2014,2
id Software,2280,2015,3
id Software,9160,2014,1
id Software,2300,2010,1
id Software,2300,2015,1
id Software,2270,2014,1
id Software,2270,2015,1
id Software,2310,2014,1
"2K Boston,2K Australia",7670,2011,1
"2K Boston,2K Australia",7670,2012,2
"2K Boston,2K Australia",7670,2013,9
"2K Boston,2K Australia",7670,2014,23
"2K Boston,2K Australia",7670,2015,11
Relic Entertainment,4570,2013,3
Relic Entertainment,4570,2014,3
Relic Entertainment,4570,2015,3
Relic Entertainment,4580,2014,5
Relic Entertainment,4580,2015,3
The Creative Assembly,4760,2011,1
The Creative Assembly,4760,2013,3
The Creative Assembly,4760,2014,3
The Creative Assembly,4760,2015,3
Rockstar North,12130,2014,1
Crystal Dynamics,7000,2012,1
Crystal Dynamics,7000,2014,1
Remedy Entertainment,12140,2013,1
Remedy Entertainment,12140,2014,1
Remedy Entertainment,12140,2015,1
EA Los Angeles,17480,2012,1
EA Los Angeles,17480,2013,3
EA Los Angeles,17480,2015,3
Infinite Interactive,12500,2011,3
"Frontier,Aspyr (Mac)",2700,2013,2
"Frontier,Aspyr (Mac)",2700,2014,1
"Frontier,Aspyr (Mac)",2700,2015,2
Crytek Studios,13520,2012,1
Crytek Studios,13520,2014,1
Crytek Studios,13520,2015,1
Ubisoft Romania,15200,2014,1
1C: Maddox Games,15320,2010,1
1C: Maddox Games,15320,2012,1
1C: Maddox Games,15320,2014,2
1C: Maddox Games,15320,2015,2
Telltale Games,8310,2014,1
BigAnt Studios,12590,2014,1
Bugbear Entertainment,12360,2014,1
Oddworld Inhabitants,15710,2011,1
Oddworld Inhabitants,15710,2014,1
Oddworld Inhabitants,15710,2015,1
Oddworld Inhabitants,15700,2011,1
Oddworld Inhabitants,15700,2012,1
Oddworld Inhabitants,15700,2013,2
Oddworld Inhabitants,15700,2014,8
Oddworld Inhabitants,15700,2015,3
"MicroProse Software, Inc",7660,2012,1
GSC Game World,20510,2011,1
GSC Game World,20510,2012,1
GSC Game World,20510,2014,1
GSC Game World,20510,2015,1
Crytek,17330,2012,1
Crytek,17300,2014,3
Crytek,17300,2015,1
"MicroProse Software, Inc",7730,2013,1
CD PROJEKT RED,20900,2011,2
CD PROJEKT RED,20900,2013,1
CD PROJEKT RED,20900,2014,4
CD PROJEKT RED,20900,2015,6
"Red Storm Entertainment,Ubisoft Montreal",19830,2014,1
Traveller's Tales,21000,2014,2
Gearbox Software,15390,2014,1
Gearbox Software,15390,2015,1
Techland,3050,2014,1
2D BOY,22000,2012,1
2D BOY,22000,2013,2
2D BOY,22000,2014,3
Egosoft,2820,2015,1
Rockstar New England,12200,2013,3
Rockstar New England,12200,2014,9
Rockstar New England,12200,2015,3
Ubisoft Montreal,19900,2013,2
Ubisoft Montreal,19900,2014,2
Ubisoft Montreal,19900,2015,1
Meridian4,11240,2014,1
Volition,9480,2011,4
Volition,9480,2013,3
Volition,9480,2014,10
Volition,9480,2015,6
EA Redwood Shores,17470,2013,4
EA Redwood Shores,17470,2014,3
EA Redwood Shores,17470,2015,1
DICE,17410,2012,5
DICE,17410,2013,6
DICE,17410,2014,25
DICE,17410,2015,8
Hidden Path Entertainment,18500,2014,1
Hidden Path Entertainment,18500,2015,1
Meridian4,11340,2014,1
Black Sea Studios Ltd,25830,2015,1
Frictional Games,22180,2013,1
Frictional Games,22180,2014,1
Frictional Games,22180,2015,1
"Epic Games, Inc.",13210,2012,1
"Epic Games, Inc.",13210,2013,1
"Epic Games, Inc.",13210,2014,1
Criterion Games,24740,2011,1
Criterion Games,24740,2012,1
Criterion Games,24740,2013,6
Criterion Games,24740,2014,16
Criterion Games,24740,2015,3
IonFX,11330,2014,1
Reality Pump Studios,1930,2013,1
Gaijin Entertainment,7510,2013,1
ACE Team,22200,2011,3
ACE Team,22200,2012,1
ACE Team,22200,2015,1
1C Company,25900,2010,1
Irrational Games,8880,2014,1
Darklight Games,1280,2014,1
Radical Entertainment,10150,2010,1
Radical Entertainment,10150,2012,1
Radical Entertainment,10150,2013,1
Radical Entertainment,10150,2014,4
Bethesda Game Studios,22330,2011,2
Bethesda Game Studios,22330,2013,1
Bethesda Game Studios,22330,2014,6
Bethesda Game Studios,22330,2015,5
Bethesda Game Studios,22320,2012,1
Bethesda Game Studios,22320,2013,1
Bethesda Game Studios,22320,2014,4
Bethesda Game Studios,22320,2015,3
HeR Interactive,31930,2014,1
Capcom,21660,2011,1
Capcom,21660,2014,1
Pandemic Studios,6060,2011,1
Pandemic Studios,6060,2012,1
Pandemic Studios,6060,2013,7
Pandemic Studios,6060,2014,33
Pandemic Studios,6060,2015,17
LucasArts,32360,2013,2
Saber Interactive,10130,2014,1
Saber Interactive,10130,2015,1
Sakari Indie,36000,2011,1
"BioWare,Aspyr (Mac)",32370,2010,1
"BioWare,Aspyr (Mac)",32370,2012,1
"BioWare,Aspyr (Mac)",32370,2013,2
"BioWare,Aspyr (Mac)",32370,2014,4
"BioWare,Aspyr (Mac)",32370,2015,5
Hemisphere Games,29180,2010,1
Black Isle Studios,38410,2014,2
Black Isle Studios,38410,2015,3
14° East,38420,2015,1
Shiny Entertainment,38440,2014,1
Ubisoft Montreal,13570,2010,1
Ubisoft Montreal,13570,2014,1
Ubisoft Montreal,13570,2015,2
"Vectorpark, Inc.",37600,2014,1
NovaLogic,32770,2015,1
Amanita Design,40700,2013,1
Amanita Design,40700,2014,1
Amanita Design,40700,2015,2
EA Los Angeles,24840,2014,4
EA Los Angeles,24840,2015,1
Slightly Mad Studios,24870,2015,1
Runic Games,41500,2012,2
Runic Games,41500,2013,4
EA Los Angeles,24800,2013,1
Konstantin Koshutin,41100,2014,1
Croteam,41000,2013,1
Croteam,41000,2014,2
BioWare,17450,2010,1
BioWare,17450,2013,1
BioWare,17450,2014,2
"Infinity Ward,Aspyr (Mac)",10180,2011,2
"Infinity Ward,Aspyr (Mac)",10180,2012,5
"Infinity Ward,Aspyr (Mac)",10180,2013,8
"Infinity Ward,Aspyr (Mac)",10180,2014,21
"Infinity Ward,Aspyr (Mac)",10180,2015,12
"Traveller's Tales,Feral Interactive (Mac)",32440,2011,1
"Traveller's Tales,Feral Interactive (Mac)",32440,2013,1
"Traveller's Tales,Feral Interactive (Mac)",32440,2014,1
"Triumph Studios,Virtual Programming",11450,2011,1
"Triumph Studios,Virtual Programming",11450,2014,2
EA Los Angeles,24790,2012,1
EA Los Angeles,24790,2014,1
EA Los Angeles,24790,2015,1
EA Los Angeles,24810,2014,1
Positech Games,41800,2012,1
Positech Games,41800,2013,1
Positech Games,41800,2015,2
Gaijin Entertainment,45300,2011,1
Gaijin Entertainment,45300,2014,1
Defence Alliance Team,35420,2013,1
Defence Alliance Team,35420,2015,1
"LucasArts,Aspyr Studios",32430,2014,1
"LucasArts,Aspyr Studios",32430,2015,1
Bethesda Game Studios,22370,2011,2
Bethesda Game Studios,22370,2012,2
Bethesda Game Studios,22370,2013,8
Bethesda Game Studios,22370,2014,12
Bethesda Game Studios,22370,2015,20
Spidermonk Entertainment,38210,2014,1
Capcom,45700,2013,1
Capcom,45700,2014,2
Capcom,45700,2015,1
Octoshark Studios,17570,2013,1
Octoshark Studios,17570,2014,3
Octoshark Studios,17570,2015,2
Croteam,41050,2014,1
TaleWorlds Entertainment,48700,2010,1
TaleWorlds Entertainment,48700,2011,2
TaleWorlds Entertainment,48700,2012,6
TaleWorlds Entertainment,48700,2013,23
TaleWorlds Entertainment,48700,2014,55
TaleWorlds Entertainment,48700,2015,41
Rockstar North / Toronto,12220,2011,1
Rockstar North / Toronto,12220,2013,1
Rockstar North / Toronto,12220,2014,2
Rockstar North / Toronto,12220,2015,1
Nemesys Games,45400,2013,1
Cold Beam Games,49600,2011,3
Cold Beam Games,49600,2012,1
Cold Beam Games,49600,2013,3
Cold Beam Games,49600,2014,4
Cold Beam Games,49600,2015,3
The Odd Gentlemen,40930,2012,2
Obsidian Entertainment,34010,2013,1
Obsidian Entertainment,34010,2015,4
Team17 Software Ltd.,22610,2013,1
Valve,630,2010,4
Valve,630,2011,5
Valve,630,2012,7
Valve,630,2013,10
Valve,630,2014,27
Valve,630,2015,6
"EA - Maxis,Aspyr (Mac)",24780,2014,1
"EA - Maxis,Aspyr (Mac)",24780,2015,2
"Akella,.dat",33670,2015,1
IO Interactive,28000,2015,1
Ino-Co,63900,2011,1
"2K Czech,Feral Interactive (Mac)",50130,2011,1
"2K Czech,Feral Interactive (Mac)",50130,2012,1
"2K Czech,Feral Interactive (Mac)",50130,2013,5
"2K Czech,Feral Interactive (Mac)",50130,2014,8
"2K Czech,Feral Interactive (Mac)",50130,2015,7
doublesix,50510,2011,1
Team17 Digital Ltd,22600,2010,1
Team17 Digital Ltd,22600,2011,1
Team17 Digital Ltd,22600,2012,1
Team17 Digital Ltd,22600,2013,1
Team17 Digital Ltd,22600,2014,2
Team17 Digital Ltd,22600,2015,1
Muzzy Lane Software,46770,2015,1
Paradox Development Studio,42960,2011,1
Paradox Development Studio,42960,2014,4
GSC Game World,4850,2013,1
Revolution Software Ltd,57640,2014,1
Zoë Mode,62100,2010,1
Terry Cavanagh,70300,2011,1
Terry Cavanagh,70300,2012,1
Terry Cavanagh,70300,2013,1
Terry Cavanagh,70300,2014,4
Frictional Games,57300,2012,2
Frictional Games,57300,2013,3
Frictional Games,57300,2014,9
Frictional Games,57300,2015,2
EasyGameStation,70400,2010,1
EasyGameStation,70400,2014,5
EasyGameStation,70400,2015,4
exosyphen studios,70100,2014,1
exosyphen studios,70100,2015,1
Subsoap,38600,2011,1
Subsoap,38600,2013,2
Subsoap,38600,2014,2
Subsoap,38600,2015,1
"Firaxis Games,Aspyr (Mac, Linux)",8930,2010,1
