developer,item_id,sentiment_analysis
Valve,70,2
Valve,70,0
Valve,70,0
Valve,70,2
Valve,70,2
Valve,70,1
Valve,70,2
Valve,70,1
Valve,70,1
Valve,70,0
Valve,70,2
Valve,70,2
Valve,70,0
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,1
Valve,70,2
Valve,70,0
Valve,70,0
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,1
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,0
Valve,70,0
Valve,70,2
Valve,70,0
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,1
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,1
Valve,70,2
Valve,70,1
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,2
Valve,70,0
Outerlight Ltd.,2400,0
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,0
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,0
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,1
Outerlight Ltd.,2400,1
Outerlight Ltd.,2400,0
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,1
Outerlight Ltd.,2400,0
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,2
Outerlight Ltd.,2400,0
Outerlight Ltd.,2400,0
GlyphX Games,3800,0
Introversion Software,1520,2
Introversion Software,1520,2
Introversion Software,1520,2
Introversion Software,1520,2
Introversion Software,1520,0
Introversion Software,1520,2
Introversion Software,1520,1
Introversion Software,1520,0
Outerlight Ltd.,2420,2
Outerlight Ltd.,2420,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,0
Facepunch Studios,4000,0
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,2
Facepunch Studios,4000,2
Facepunch Studios,4000,1
Facepunch Studios,4000,1
Facepunch Studios,4000,0
Facepunch Studios,4000,2
Facepunch Studios,4000,2
