target_game_id,similar_game_ids
10.0,"[6, 7, 9, 11, 12]"
20.0,"[2, 3, 4, 5, 8]"
30.0,"[2, 3, 4, 5, 8]"
40.0,"[2, 3, 4, 5, 8]"
50.0,"[2, 3, 4, 5, 8]"
60.0,"[2, 3, 4, 5, 8]"
70.0,"[6, 7, 9, 11, 12]"
80.0,"[6, 7, 9, 11, 12]"
130.0,"[2, 3, 4, 5, 8]"
220.0,"[6, 7, 9, 11, 12]"
240.0,"[20, 21, 28, 68, 69]"
280.0,"[6, 7, 9, 11, 12]"
300.0,"[6, 7, 9, 11, 12]"
320.0,"[2, 3, 4, 5, 8]"
340.0,"[23, 27, 347, 480, 1282]"
360.0,"[6, 7, 9, 11, 12]"
380.0,"[18, 29, 30, 76, 126]"
400.0,"[6, 7, 9, 11, 12]"
420.0,"[18, 29, 30, 76, 126]"
440.0,"[183, 462, 564, 1263, 1689]"
500.0,"[20, 21, 28, 68, 69]"
550.0,"[20, 21, 28, 68, 69]"
620.0,"[231, 232, 233, 234, 235]"
630.0,"[23, 27, 347, 480, 1282]"
730.0,"[48, 49, 58, 270, 300]"
1002.0,"[36, 279, 552, 623, 704]"
1200.0,"[6, 7, 9, 11, 12]"
1230.0,"[23, 27, 347, 480, 1282]"
1250.0,"[20, 21, 28, 68, 69]"
1256.0,"[18, 29, 30, 76, 126]"
1257.0,"[18, 29, 30, 76, 126]"
1280.0,"[14104, 848, 862, 1474, 2600]"
1300.0,"[6, 7, 9, 11, 12]"
1500.0,"[34, 35, 500, 507, 580]"
1510.0,"[34, 35, 500, 507, 580]"
1520.0,"[34, 35, 500, 507, 580]"
1530.0,"[36, 279, 552, 623, 704]"
1600.0,"[43, 161, 274, 275, 356]"
1610.0,"[78, 83, 84, 85, 128]"
1620.0,"[136, 156, 308, 422, 453]"
1630.0,"[41, 1321, 1322, 1323, 1325]"
1640.0,"[41, 1321, 1322, 1323, 1325]"
1670.0,"[45, 77, 90, 92, 122]"
1690.0,"[43, 161, 274, 275, 356]"
1700.0,"[333, 570, 571, 572, 573]"
1900.0,"[45, 77, 90, 92, 122]"
1930.0,"[138, 147, 149, 207, 374]"
2100.0,"[262, 351, 373, 524, 533]"
2200.0,"[48, 49, 58, 270, 300]"
2210.0,"[48, 49, 58, 270, 300]"
2270.0,"[2, 3, 4, 5, 8]"
2280.0,"[2, 3, 4, 5, 8]"
2290.0,"[2, 3, 4, 5, 8]"
2300.0,"[2, 3, 4, 5, 8]"
2310.0,"[2, 3, 4, 5, 8]"
2320.0,"[2, 3, 4, 5, 8]"
2330.0,"[57, 74, 263, 265, 266]"
2340.0,"[57, 74, 263, 265, 266]"
2350.0,"[48, 49, 58, 270, 300]"
2360.0,"[2, 3, 4, 5, 8]"
2370.0,"[2, 3, 4, 5, 8]"
2390.0,"[2, 3, 4, 5, 8]"
2400.0,"[63, 791, 1152, 1458, 1574]"
2420.0,"[63, 791, 1152, 1458, 1574]"
2450.0,"[2, 3, 4, 5, 8]"
2500.0,"[192, 194, 195, 196, 197]"
2520.0,"[330, 383, 491, 541, 713]"
2590.0,"[2, 3, 4, 5, 8]"
2600.0,"[20, 21, 28, 68, 69]"
2610.0,"[20, 21, 28, 68, 69]"
2620.0,"[20, 21, 28, 68, 69]"
2630.0,"[20, 21, 28, 68, 69]"
2640.0,"[20, 21, 28, 68, 69]"
2700.0,"[642, 1539, 3085, 3155, 3498]"
2710.0,"[57, 74, 263, 265, 266]"
2720.0,"[167, 1569, 1595, 1616, 1682]"
2780.0,"[18, 29, 30, 76, 126]"
2800.0,"[45, 77, 90, 92, 122]"
2810.0,"[78, 83, 84, 85, 128]"
2820.0,"[1570, 1970, 816, 817, 3068]"
2840.0,"[81, 1069, 1144, 1147, 1519]"
2850.0,"[81, 1069, 1144, 1147, 1519]"
2870.0,"[2599, 640, 891, 3168, 5150]"
2900.0,"[78, 83, 84, 85, 128]"
2910.0,"[78, 83, 84, 85, 128]"
2920.0,"[78, 83, 84, 85, 128]"
2990.0,"[346, 365, 371, 372, 549]"
3010.0,"[89, 145, 543, 1004, 2783]"
3020.0,"[6, 7, 9, 11, 12]"
3050.0,"[89, 145, 543, 1004, 2783]"
3130.0,"[45, 77, 90, 92, 122]"
3170.0,"[306, 465, 621, 629, 1216]"
3230.0,"[45, 77, 90, 92, 122]"
3260.0,"[4238, 4862, 4863, 5004, 5083]"
3270.0,"[2, 3, 4, 5, 8]"
3300.0,"[96, 97, 98, 99, 100]"
3310.0,"[96, 97, 98, 99, 100]"
3320.0,"[96, 97, 98, 99, 100]"
3330.0,"[96, 97, 98, 99, 100]"
3340.0,"[96, 97, 98, 99, 100]"
3350.0,"[96, 97, 98, 99, 100]"
3360.0,"[96, 97, 98, 99, 100]"
3380.0,"[96, 97, 98, 99, 100]"
3390.0,"[96, 97, 98, 99, 100]"
3400.0,"[96, 97, 98, 99, 100]"
3410.0,"[96, 97, 98, 99, 100]"
3420.0,"[96, 97, 98, 99, 100]"
3430.0,"[96, 97, 98, 99, 100]"
3440.0,"[96, 97, 98, 99, 100]"
3450.0,"[96, 97, 98, 99, 100]"
3460.0,"[96, 97, 98, 99, 100]"
3480.0,"[96, 97, 98, 99, 100]"
3483.0,"[4618, 7446, 8286, 12487, 13010]"
3490.0,"[96, 97, 98, 99, 100]"
3500.0,"[96, 97, 98, 99, 100]"
3510.0,"[96, 97, 98, 99, 100]"
3520.0,"[96, 97, 98, 99, 100]"
3530.0,"[96, 97, 98, 99, 100]"
3540.0,"[96, 97, 98, 99, 100]"
3560.0,"[494, 497, 544, 842, 1546]"
3570.0,"[96, 97, 98, 99, 100]"
3580.0,"[96, 97, 98, 99, 100]"
3590.0,"[45, 77, 90, 92, 122]"
3600.0,"[96, 97, 98, 99, 100]"
3610.0,"[96, 97, 98, 99, 100]"
3620.0,"[1366, 4041, 4987, 5835, 9034]"
3700.0,"[18, 29, 30, 76, 126]"
3710.0,"[18, 29, 30, 76, 126]"
3720.0,"[78, 83, 84, 85, 128]"
3730.0,"[2, 3, 4, 5, 8]"
3800.0,"[6, 7, 9, 11, 12]"
3810.0,"[6, 7, 9, 11, 12]"
3820.0,"[6, 7, 9, 11, 12]"
3830.0,"[6, 7, 9, 11, 12]"
