id,recommended_id
670290.0,"[614300.0, 605490.0, 608590.0, 505750.0, 492957.0]"
767400.0,"[720850.0, 72500.0, 464525.0, 45302.0, 484860.0]"
772540.0,"[768880.0, 774276.0, 774277.0, 773650.0, 237740.0]"
774276.0,"[774276.0, 774277.0, 768880.0, 772540.0, 237740.0]"
774277.0,"[774276.0, 774277.0, 768880.0, 772540.0, 237740.0]"
768800.0,"[515300.0, 399837.0, 334780.0, 682020.0, 759280.0]"
770380.0,"[765320.0, 637690.0, 726660.0, 681900.0, 636400.0]"
768880.0,"[774276.0, 774277.0, 768880.0, 772540.0, 237740.0]"
765320.0,"[770380.0, 681900.0, 540510.0, 605050.0, 98400.0]"
773650.0,"[774276.0, 774277.0, 768880.0, 772540.0, 237740.0]"
774271.0,"[318793.0, 741260.0, 692090.0, 650230.0, 632370.0]"
773690.0,"[774279.0, 507530.0, 459630.0, 373410.0, 390409.0]"
774279.0,"[773690.0, 592811.0, 715840.0, 725420.0, 699680.0]"
768060.0,"[388350.0, 361870.0, 348280.0, 255340.0, 460840.0]"
775880.0,"[730510.0, 646663.0, 204381.0, 241364.0, 40390.0]"
653960.0,"[739890.0, 590248.0, 488280.0, 503720.0, 524580.0]"
777910.0,"[711739.0, 749290.0, 713570.0, 717960.0, 767230.0]"
282010.0,"[725080.0, 568500.0, 729670.0, 415990.0, 741380.0]"
70.0,"[726330.0, 600910.0, 489220.0, 24082.0, 762290.0]"
520680.0,"[520680.0, 418250.0, 378330.0, 435870.0, 307130.0]"
690410.0,"[520680.0, 418250.0, 378330.0, 435870.0, 307130.0]"
413120.0,"[411900.0, 272100.0, 730480.0, 495480.0, 345980.0]"
716110.0,"[626522.0, 642804.0, 705390.0, 644530.0, 704040.0]"
1640.0,"[234776.0, 340440.0, 242590.0, 511940.0, 690450.0]"
1630.0,"[683810.0, 741120.0, 397990.0, 436625.0, 348360.0]"
2400.0,"[262980.0, 2540.0, 434250.0, 216433.0, 210057.0]"
659780.0,"[263500.0, 711740.0, 660850.0, 272890.0, 479100.0]"
603280.0,"[261680.0, 287100.0, 358410.0, 235320.0, 356140.0]"
753110.0,"[261680.0, 287100.0, 358410.0, 235320.0, 356140.0]"
753100.0,"[1520.0, 243220.0, 345150.0, 290490.0, 530860.0]"
758550.0,"[6200.0, 2420.0, 12580.0, 12560.0, 4900.0]"
3800.0,"[358260.0, 617680.0, 343425.0, 71120.0, 391260.0]"
1520.0,"[753100.0, 753460.0, 666800.0, 440540.0, 202200.0]"
2420.0,"[286830.0, 12560.0, 4900.0, 12580.0, 758550.0]"
4000.0,"[264340.0, 12590.0, 12360.0, 10520.0, 6550.0]"
4900.0,"[2420.0, 758550.0, 12580.0, 12560.0, 6200.0]"
2520.0,"[577910.0, 409630.0, 438790.0, 675351.0, 453810.0]"
6200.0,"[6200.0, 12580.0, 286830.0, 327260.0, 4900.0]"
6210.0,"[9030.0, 279964.0, 282030.0, 286920.0, 373250.0]"
6300.0,"[31700.0, 294270.0, 42964.0, 62000.0, 421230.0]"
2990.0,"[271443.0, 271441.0, 266110.0, 3980.0, 271442.0]"
6220.0,"[236470.0, 6220.0, 1700.0, 6310.0, 7610.0]"
3980.0,"[271443.0, 271441.0, 266110.0, 3980.0, 271442.0]"
1700.0,"[236470.0, 6220.0, 1700.0, 6310.0, 7610.0]"
6310.0,"[236470.0, 6220.0, 1700.0, 6310.0, 7610.0]"
3990.0,"[222625.0, 254460.0, 257930.0, 285670.0, 270430.0]"
7610.0,"[236470.0, 6220.0, 1700.0, 6310.0, 7610.0]"
7600.0,"[222625.0, 270430.0, 3990.0, 285670.0, 7650.0]"
7620.0,"[236470.0, 6220.0, 1700.0, 6310.0, 7610.0]"
2540.0,"[2540.0, 2400.0, 314250.0, 313280.0, 210057.0]"
8000.0,"[254480.0, 281050.0, 3990.0, 254460.0, 257930.0]"
6550.0,"[99910.0, 97106.0, 12360.0, 254860.0, 271470.0]"
8200.0,"[9160.0, 222630.0, 258640.0, 8210.0, 514740.0]"
2290.0,"[447170.0, 768340.0, 339440.0, 690080.0, 517050.0]"
2570.0,"[343270.0, 275080.0, 367670.0, 390442.0, 274980.0]"
8210.0,"[8210.0, 258640.0, 2570.0, 252550.0, 31990.0]"
2280.0,"[281370.0, 356270.0, 267630.0, 628520.0, 305260.0]"
9160.0,"[8200.0, 254860.0, 278712.0, 264340.0, 265192.0]"
2270.0,"[9010.0, 9040.0, 33570.0, 3810.0, 2310.0]"
9010.0,"[9010.0, 9040.0, 33570.0, 3810.0, 2310.0]"
9040.0,"[9010.0, 9040.0, 33570.0, 3810.0, 2310.0]"
9000.0,"[298020.0, 277470.0, 271730.0, 291710.0, 35000.0]"
3810.0,"[3810.0, 33570.0, 2270.0, 9010.0, 9040.0]"
9030.0,"[355970.0, 349000.0, 300440.0, 448020.0, 258374.0]"
2310.0,"[3810.0, 33570.0, 2270.0, 9010.0, 9040.0]"
3230.0,"[39391.0, 3230.0, 358420.0, 39540.0, 40700.0]"
9310.0,"[268121.0, 290280.0, 21600.0, 462250.0, 22410.0]"
7670.0,"[425940.0, 349933.0, 414950.0, 628850.0, 643730.0]"
4570.0,"[73020.0, 21980.0, 390457.0, 4900.0, 509730.0]"
4770.0,"[4770.0, 324342.0, 263820.0, 277720.0, 271444.0]"
50970.0,"[293960.0, 311000.0, 258814.0, 45700.0, 637737.0]"
12170.0,"[363640.0, 471891.0, 260060.0, 248350.0, 36000.0]"
12180.0,"[46250.0, 292840.0, 264802.0, 231480.0, 282280.0]"
12130.0,"[278120.0, 412940.0, 302120.0, 362580.0, 286970.0]"
